n_estimators,num_leaves,learning_rate,k,threshold,profit_1,max_drawdown_1,profit_0,max_drawdown_0
50,5,0.05,1,0.35,0.8541590350571737,,0.022726926135453573,-1.7255484467994604
50,5,0.05,1,0.39999999999999997,0.8541590350571737,,0.022726926135453573,-1.7255484467994604
50,5,0.05,1,0.44999999999999996,0.2693128344268053,,-0.5621192744949148,-53.86930121342844
50,5,0.05,1,0.49999999999999994,0.34498848579006436,-14.226109919002939,-0.4864436231316558,
50,5,0.05,1,0.5499999999999999,0.006506051013782876,-10.564137697831717,-0.8249260579079373,
50,5,0.05,1,0.5999999999999999,0.03197654288539342,-0.6470287757534479,-0.7994555660363267,
50,5,0.05,1,0.6499999999999999,0.0,0.0,-0.8314321089217201,
50,5,0.05,2,0.35,0.8314321089217201,,-0.0,0.0
50,5,0.05,2,0.39999999999999997,0.8252090822462513,,-0.006223026675468812,-3.0340795904649
50,5,0.05,2,0.44999999999999996,0.27417396274400996,,-0.5572581461777102,-49.97993376285283
50,5,0.05,2,0.49999999999999994,0.3558202755333485,-14.090470668202931,-0.47561183338837165,
50,5,0.05,2,0.5499999999999999,-0.04125934888568206,-13.095239674883551,-0.8726914578074022,
50,5,0.05,2,0.5999999999999999,0.03197654288539342,-0.6470287757534479,-0.7994555660363267,
50,5,0.05,2,0.6499999999999999,0.0,0.0,-0.8314321089217201,
50,5,0.05,3,0.35,0.8314321089217201,,-0.0,0.0
50,5,0.05,3,0.39999999999999997,0.8314321089217201,,-0.0,0.0
50,5,0.05,3,0.44999999999999996,0.2290488651682654,-47.31668148525487,-0.6023832437534548,
50,5,0.05,3,0.49999999999999994,0.24354660483485957,-21.321277375133693,-0.5878855040868606,
50,5,0.05,3,0.5499999999999999,0.1332220582898226,-8.26965078814225,-0.6982100506318976,
50,5,0.05,3,0.5999999999999999,0.0,0.0,-0.8314321089217201,
50,5,0.05,3,0.6499999999999999,0.0,0.0,-0.8314321089217201,
50,5,0.05,4,0.35,0.8314321089217201,,-0.0,0.0
50,5,0.05,4,0.39999999999999997,0.8314321089217201,,-0.0,0.0
50,5,0.05,4,0.44999999999999996,0.2339508964210507,,-0.5974812125006694,-50.870726875561424
50,5,0.05,4,0.49999999999999994,0.23054192307038202,-15.489381681953574,-0.6008901858513381,
50,5,0.05,4,0.5499999999999999,0.16581133229005196,-15.532133931160072,-0.6656207766316682,
50,5,0.05,4,0.5999999999999999,0.1716265162179117,-4.746366024814624,-0.6598055927038085,
50,5,0.05,4,0.6499999999999999,0.008980649708960398,-0.26347790839077423,-0.8224514592127598,
50,5,0.05,5,0.35,0.8314321089217201,,-0.0,0.0
50,5,0.05,5,0.39999999999999997,0.7670326369361244,,-0.0643994719855957,-7.168818059392092
50,5,0.05,5,0.44999999999999996,0.3415386152323895,,-0.48989349368933066,-45.8141448298002
50,5,0.05,5,0.49999999999999994,0.08880684381723836,-21.658425014057674,-0.7426252651044818,
50,5,0.05,5,0.5499999999999999,0.22794927516960006,-11.733168700726658,-0.6034828337521201,
50,5,0.05,5,0.5999999999999999,0.12963277809514218,-3.6943592565566052,-0.701799330826578,
50,5,0.05,5,0.6499999999999999,0.020863291664667383,-1.5433320142461349,-0.8105688172570528,
50,5,0.05,6,0.35,0.8314321089217201,,-0.0,0.0
50,5,0.05,6,0.39999999999999997,0.810315693203762,,-0.021116415717958192,-2.1116415717958192
50,5,0.05,6,0.44999999999999996,0.5542329601765801,,-0.27719914874514007,-28.981652175959123
50,5,0.05,6,0.49999999999999994,0.42602359928806566,-14.780059846108847,-0.4054085096336545,
50,5,0.05,6,0.5499999999999999,0.2610734038764235,-9.760280813989139,-0.5703587050452966,
50,5,0.05,6,0.5999999999999999,0.062478276123969834,-2.7617392733736863,-0.7689538327977503,
50,5,0.05,6,0.6499999999999999,0.027022601793292078,-0.1926411096127949,-0.8044095071284281,
50,5,0.05,7,0.35,0.8314321089217201,,-0.0,0.0
50,5,0.05,7,0.39999999999999997,0.8406417496938858,,0.009209640772165684,-0.4655702541503052
50,5,0.05,7,0.44999999999999996,0.5541071654034816,,-0.27732494351823855,-25.59105474909802
50,5,0.05,7,0.49999999999999994,0.20343110434126332,-25.121464417822107,-0.6280010045804568,
50,5,0.05,7,0.5499999999999999,0.2953443623244313,-12.19074120346687,-0.5360877465972889,
50,5,0.05,7,0.5999999999999999,0.0012035112123197633,-5.807465625172943,-0.8302285977094004,
50,5,0.05,7,0.6499999999999999,0.0,0.0,-0.8314321089217201,
50,5,0.05,8,0.35,0.8314321089217201,,-0.0,0.0
50,5,0.05,8,0.39999999999999997,0.8437957019903572,,0.012363593068637102,-0.4655702541503052
50,5,0.05,8,0.44999999999999996,0.6812123051272708,,-0.15021980379444932,-20.01668781088345
50,5,0.05,8,0.49999999999999994,0.33877140513464055,-23.610082840084978,-0.4926607037870796,
50,5,0.05,8,0.5499999999999999,0.3218188851865449,-9.304926090518638,-0.5096132237351753,
50,5,0.05,8,0.5999999999999999,0.07220933679387265,-2.7527966119239666,-0.7592227721278475,
50,5,0.05,8,0.6499999999999999,0.0,0.0,-0.8314321089217201,
50,5,0.05,9,0.35,0.8314321089217201,,-0.0,0.0
