https://www.CryptoDataDownload.com
Unix,Date,Symbol,Open,High,Low,Close,Volume,Volume Base Asset,tradecount
1710370800000,2024-03-13 23:00:00,ETHUSDT,3986.36,4015.37,3986.0,4008.76,53178.489,212979668.74861002,96430
1710367200000,2024-03-13 22:00:00,ETHUSDT,4008.66,4009.8,3983.93,3986.37,44077.127,176009039.509,78286
1710363600000,2024-03-13 21:00:00,ETHUSDT,3992.61,4009.05,3981.61,4008.66,36894.181000000004,147423066.86032,76340
1710360000000,2024-03-13 20:00:00,ETHUSDT,4004.12,4025.84,3977.49,3992.61,107628.26400000001,430606312.27746004,166745
1710356400000,2024-03-13 19:00:00,ETHUSDT,4007.67,4014.3,3981.68,4004.13,65640.86,262412748.70862997,116552
1710352800000,2024-03-13 18:00:00,ETHUSDT,3984.93,4015.66,3976.99,4007.67,79727.947,318956864.04157996,139122
1710349200000,2024-03-13 17:00:00,ETHUSDT,3986.52,3999.95,3962.79,3984.92,87473.966,348231266.86206,164046
1710345600000,2024-03-13 16:00:00,ETHUSDT,3965.67,3994.3,3955.5,3986.52,119539.356,475421361.93904006,219761
1710342000000,2024-03-13 15:00:00,ETHUSDT,3969.03,4007.47,3950.08,3965.66,190584.857,757638144.14316,309621
1710338400000,2024-03-13 14:00:00,ETHUSDT,3980.01,4004.8,3955.22,3969.04,246703.982,982044682.84594,398448
1710334800000,2024-03-13 13:00:00,ETHUSDT,4009.86,4026.73,3935.0,3980.0,320220.146,1274396189.84077,474069
1710331200000,2024-03-13 12:00:00,ETHUSDT,4053.74,4058.0,4005.07,4009.87,172205.41,693708931.0508599,253380
1710327600000,2024-03-13 11:00:00,ETHUSDT,4060.57,4065.24,4049.22,4053.74,41776.922,169524069.27592,83263
1710324000000,2024-03-13 10:00:00,ETHUSDT,4054.41,4062.37,4047.77,4060.57,49121.278,199182100.95709,101007
1710320400000,2024-03-13 09:00:00,ETHUSDT,4068.46,4071.96,4048.23,4054.4,71918.851,291982320.84561,124931
1710316800000,2024-03-13 08:00:00,ETHUSDT,4043.29,4091.65,4043.29,4068.45,163579.499,665707832.62375,234578
